,t,ax,ay,az,gx,gy,gz
0,0.002380847930908203,1240,775,16562,5,-16,1
1,0.0047607421875,1240,775,16562,5,-16,1
2,0.007138490676879883,1240,775,16562,5,-16,1
3,0.009514570236206055,1249,792,16567,7,-15,3
4,0.011890888214111328,1249,792,16567,7,-15,3
5,0.014267683029174805,1249,792,16567,7,-15,3
6,0.01664423942565918,1274,800,16577,8,-15,4
7,0.01902008056640625,1274,800,16577,8,-15,4
8,0.021395206451416016,1274,800,16577,8,-15,4
9,0.023772478103637695,1289,810,16575,6,-13,6
10,0.026147842407226562,1289,810,16575,6,-13,6
11,0.028524160385131836,1289,810,16575,6,-12,6
12,0.030899524688720703,1306,805,16556,6,-12,6
13,0.033275604248046875,1306,805,16556,6,-12,6
14,0.03565192222595215,1306,805,16556,6,-10,5
15,0.038027048110961914,1321,811,16534,6,-10,5
16,0.04040217399597168,1321,811,16534,6,-10,5
17,0.042778968811035156,1321,811,16534,5,-8,5
18,0.04515647888183594,1336,818,16502,5,-8,5
19,0.04753255844116211,1336,818,16502,5,-8,5
20,0.04990792274475098,1336,818,16502,3,-5,5
21,0.05228376388549805,1347,818,16483,3,-5,5
22,0.054659128189086914,1347,818,16483,3,-5,5
23,0.05703544616699219,1347,818,16483,2,-1,4
24,0.05941128730773926,1346,817,16483,2,-1,4
25,0.061786651611328125,1346,817,16483,2,-1,4
26,0.0641624927520752,1346,817,16483,0,3,3
27,0.06653809547424316,1328,810,16495,0,3,3
28,0.06891393661499023,1328,810,16495,0,3,3
29,0.07129025459289551,1328,810,16495,-2,5,3
30,0.07366538047790527,1314,817,16524,-2,5,3
31,0.07610201835632324,1314,817,16524,-2,5,3
32,0.07848501205444336,1288,811,16536,-4,8,3
33,0.08086323738098145,1288,811,16536,-4,8,3
34,0.08324003219604492,1288,811,16536,-4,8,3
35,0.0856170654296875,1267,802,16558,-6,10,2
36,0.08799338340759277,1267,802,16558,-6,10,2
37,0.09036970138549805,1267,802,16558,-6,10,2
38,0.09274554252624512,1243,794,16570,-8,9,2
39,0.09513115882873535,1243,794,16570,-8,9,2
40,0.09750914573669434,1243,794,16570,-8,9,2
41,0.09988617897033691,1228,793,16577,-10,8,3
42,0.10226178169250488,1228,793,16577,-10,8,3
43,0.10463881492614746,1228,793,16577,-10,8,3
44,0.10701560974121094,1221,785,16578,-10,7,3
45,0.10939145088195801,1221,785,16578,-10,7,3
46,0.11176824569702148,1221,785,16578,-10,7,3
47,0.11414456367492676,1220,781,16595,-10,6,3
48,0.11652040481567383,1220,781,16595,-10,6,3
49,0.1188960075378418,1220,781,16595,-10,6,3
50,0.12127232551574707,1224,777,16599,-8,4,5
51,0.12364864349365234,1224,777,16599,-8,4,5
52,0.12602496147155762,1224,777,16599,-8,4,5
53,0.1284019947052002,1235,779,16610,-4,4,5
54,0.13077855110168457,1235,779,16610,-4,4,5
55,0.13315558433532715,1235,779,16610,-2,1,5
56,0.13553237915039062,1246,775,16615,-2,1,5
57,0.1379075050354004,1246,775,16615,-2,1,5
58,0.14028406143188477,1246,775,16615,1,-1,5
59,0.14265966415405273,1256,777,16636,1,-1,5
60,0.1450366973876953,1256,777,16636,1,-1,5
61,0.1474132537841797,1256,777,16636,1,-4,4
62,0.14978933334350586,1269,775,16647,1,-4,4
63,0.15216541290283203,1269,775,16647,1,-4,4
64,0.1545405387878418,1269,775,16647,2,-8,4
65,0.15691828727722168,1280,770,16649,2,-8,4
66,0.15929484367370605,1280,770,16649,2,-8,4
67,0.16167092323303223,1280,770,16649,3,-12,6
68,0.1640465259552002,1301,781,16647,3,-12,6
69,0.16642332077026367,1301,781,16647,3,-12,6
70,0.16880035400390625,1301,781,16647,4,-16,5
71,0.17117691040039062,1322,782,16629,4,-16,5
72,0.1735532283782959,1322,782,16629,4,-16,5
73,0.17593050003051758,1322,782,16629,4,-19,5
74,0.17830681800842285,1345,786,16578,4,-19,5
75,0.18068265914916992,1345,786,16578,4,-19,5
76,0.1830580234527588,1355,797,16546,3,-19,4
77,0.1854395866394043,1355,797,16546,3,-19,4
78,0.18781566619873047,1355,797,16546,3,-19,4
79,0.19019150733947754,1370,810,16514,3,-19,3
80,0.1925678253173828,1370,810,16514,3,-19,3
81,0.19494366645812988,1370,810,16514,3,-19,3
82,0.19731974601745605,1368,818,16482,3,-17,2
83,0.19969582557678223,1368,818,16482,3,-17,2
84,0.2020716667175293,1368,818,16482,3,-17,2
85,0.20444846153259277,1359,815,16465,3,-12,3
86,0.20682382583618164,1359,815,16465,3,-12,3
87,0.2091996669769287,1359,815,16465,3,-12,3
88,0.2115764617919922,1358,811,16456,3,-8,2
89,0.21395182609558105,1358,811,16456,3,-8,2
90,0.21632719039916992,1358,811,16456,3,-8,2
91,0.218703031539917,1357,800,16461,2,-2,1
92,0.22108054161071777,1357,800,16461,2,-2,1
93,0.22345900535583496,1357,800,16461,2,-2,1
94,0.22583365440368652,1347,801,16446,1,3,1
95,0.2282092571258545,1347,801,16446,1,3,1
96,0.23058533668518066,1347,801,16446,1,3,1
97,0.23296165466308594,1342,804,16445,-1,6,1
98,0.235337495803833,1342,804,16445,-1,6,1
