,t,ax,ay,az,gx,gy,gz
0,0.002384662628173828,57,946,16601,5,51,-45
1,0.004764556884765625,57,946,16601,5,51,-45
2,0.007140636444091797,57,946,16601,5,51,-45
3,0.009515762329101562,48,957,16609,13,51,-49
4,0.011890411376953125,48,957,16609,13,51,-49
5,0.014265775680541992,48,957,16609,14,51,-52
6,0.016641616821289062,47,906,16637,14,51,-52
7,0.019016027450561523,47,906,16637,14,51,-52
8,0.021390676498413086,47,906,16637,27,52,-58
9,0.023766517639160156,39,881,16674,27,52,-58
10,0.02614140510559082,39,881,16674,27,52,-58
11,0.02851724624633789,39,881,16674,40,51,-63
12,0.03089141845703125,63,901,16650,40,51,-63
13,0.03326702117919922,63,901,16650,40,51,-63
14,0.03564167022705078,63,901,16650,47,52,-69
15,0.03801751136779785,108,878,16638,47,52,-69
16,0.04039335250854492,108,878,16638,47,52,-69
17,0.042768001556396484,108,878,16638,52,55,-75
18,0.045143842697143555,150,894,16640,52,55,-75
19,0.04751777648925781,150,894,16640,52,55,-75
20,0.04989314079284668,150,894,16640,45,58,-83
21,0.05226945877075195,164,922,16638,45,58,-83
22,0.054644107818603516,164,922,16638,45,58,-83
23,0.05701875686645508,164,922,16638,34,61,-89
24,0.05939316749572754,143,910,16639,34,61,-89
25,0.06176877021789551,143,910,16639,34,61,-89
26,0.06414484977722168,119,906,16690,29,62,-98
27,0.06651997566223145,119,906,16690,29,62,-98
28,0.06889510154724121,119,906,16690,29,62,-98
29,0.07126975059509277,117,871,16752,28,61,-107
30,0.07364416122436523,117,871,16752,28,61,-107
31,0.0760183334350586,117,871,16752,28,61,-107
32,0.07839322090148926,88,822,16801,28,59,-117
33,0.08076858520507812,88,822,16801,28,59,-117
34,0.08314275741577148,88,822,16801,28,59,-117
35,0.08551764488220215,19,779,16805,35,57,-127
36,0.08789229393005371,19,779,16805,35,57,-127
37,0.09026765823364258,19,779,16805,35,57,-127
38,0.09264254570007324,-61,763,16779,49,54,-138
39,0.0950174331665039,-61,763,16779,49,54,-138
40,0.09739232063293457,-61,763,16779,49,54,-138
41,0.09976720809936523,-137,733,16763,62,49,-146
42,0.1021418571472168,-137,733,16763,62,49,-146
43,0.10451769828796387,-137,733,16763,62,49,-146
44,0.10689163208007812,-201,750,16710,84,42,-158
45,0.10926628112792969,-201,750,16710,84,42,-158
46,0.11164093017578125,-201,750,16710,84,42,-158
47,0.11401700973510742,-241,842,16670,97,37,-166
48,0.11639261245727539,-241,842,16670,97,37,-166
49,0.11876630783081055,-241,842,16670,97,37,-166
50,0.12114143371582031,-287,922,16647,105,30,-171
51,0.12351632118225098,-287,922,16647,105,30,-171
52,0.12589120864868164,-287,922,16647,109,26,-175
53,0.12826776504516602,-286,987,16628,109,26,-175
54,0.13064169883728027,-286,987,16628,109,26,-175
55,0.13301682472229004,-286,987,16628,115,21,-179
56,0.1353909969329834,-252,1054,16615,115,21,-179
57,0.13776588439941406,-252,1054,16615,115,21,-179
58,0.14014148712158203,-252,1054,16615,121,15,-183
59,0.1425161361694336,-212,1116,16589,121,15,-183
60,0.14489054679870605,-212,1116,16589,121,15,-183
61,0.14726495742797852,-212,1116,16589,127,10,-186
