,t,ax,ay,az,gx,gy,gz
0,0.0023813247680664062,446,515,16557,-1,2,1
1,0.004762887954711914,446,515,16557,-1,2,1
2,0.007141590118408203,446,515,16557,1,1,2
3,0.009518623352050781,456,521,16574,1,1,2
4,0.01189422607421875,456,521,16574,1,1,2
5,0.014270782470703125,456,521,16574,2,1,2
6,0.016648292541503906,451,549,16584,2,1,2
7,0.01902484893798828,451,549,16584,2,1,2
8,0.021401166915893555,451,549,16584,2,0,1
9,0.023778438568115234,442,598,16602,2,0,1
10,0.026154518127441406,442,598,16602,2,0,1
11,0.028530359268188477,442,598,16602,3,1,1
12,0.030905723571777344,439,664,16603,3,1,1
13,0.03328132629394531,439,664,16603,3,1,1
14,0.035657644271850586,439,664,16603,4,1,0
15,0.038033485412597656,425,722,16615,4,1,0
16,0.04040932655334473,425,722,16615,4,1,0
17,0.0427861213684082,425,722,16615,2,0,1
18,0.04517960548400879,415,769,16623,2,0,1
19,0.047556400299072266,415,769,16623,2,0,1
20,0.04993152618408203,402,794,16632,0,1,2
21,0.052307844161987305,402,794,16632,0,1,2
22,0.05468440055847168,402,794,16632,0,1,2
23,0.05706191062927246,403,782,16629,-1,0,3
24,0.05943894386291504,403,782,16629,-1,0,3
25,0.06181502342224121,403,782,16629,-1,0,3
26,0.06419205665588379,400,755,16632,-2,0,2
27,0.06656885147094727,400,755,16632,-2,0,2
28,0.06894540786743164,400,755,16632,-2,0,2
29,0.07132291793823242,396,711,16617,-4,1,2
30,0.07369804382324219,396,711,16617,-4,1,2
31,0.07607483863830566,396,711,16617,-4,1,2
32,0.07845091819763184,400,659,16609,-4,1,2
33,0.08082866668701172,400,659,16609,-4,1,2
34,0.0832054615020752,400,659,16609,-4,1,2
35,0.08558106422424316,403,616,16594,-5,1,1
36,0.08795762062072754,403,616,16594,-5,1,1
37,0.09033346176147461,403,616,16594,-5,1,1
38,0.09270930290222168,437,570,16576,-4,2,1
39,0.09508514404296875,437,570,16576,-4,2,1
40,0.09746146202087402,437,570,16576,-4,2,1
41,0.0998387336730957,458,536,16573,-3,1,1
42,0.10221409797668457,458,536,16573,-3,1,1
43,0.10459017753601074,458,536,16573,-3,1,2
44,0.10696649551391602,470,518,16567,-3,1,2
45,0.10934257507324219,470,518,16567,-3,1,2
46,0.11171865463256836,470,518,16567,-1,1,2
47,0.11409425735473633,481,527,16579,-1,1,2
48,0.1164705753326416,481,527,16579,-1,1,2
49,0.11884593963623047,481,527,16579,1,1,2
50,0.12122130393981934,492,557,16583,1,1,2
51,0.12359738349914551,492,557,16583,1,1,2
52,0.12597298622131348,492,557,16583,2,2,2
53,0.12834954261779785,489,598,16580,2,2,2
54,0.13072538375854492,489,598,16580,2,2,2
55,0.1331028938293457,489,598,16580,3,2,1
56,0.13547992706298828,493,657,16586,3,2,1
57,0.13785457611083984,493,657,16586,3,2,1
58,0.1402301788330078,493,657,16586,3,1,1
59,0.14260601997375488,478,705,16589,3,1,1
60,0.14498138427734375,478,705,16589,3,1,1
61,0.14735746383666992,478,705,16589,2,0,2
62,0.1497325897216797,459,751,16601,2,0,2
63,0.15210866928100586,459,751,16601,2,0,2
64,0.15448403358459473,443,768,16602,2,0,1
65,0.1568615436553955,443,768,16602,2,0,1
66,0.1592390537261963,443,768,16602,2,0,1
67,0.16161465644836426,427,766,16612,0,1,0
68,0.16399025917053223,427,766,16612,0,1,0
69,0.1663665771484375,427,766,16612,0,1,0
70,0.16874313354492188,410,748,16612,-1,0,1
71,0.17112040519714355,410,748,16612,-1,0,1
72,0.17349576950073242,410,748,16612,-1,0,1
73,0.1758723258972168,401,710,16599,-2,0,1
74,0.17824864387512207,401,710,16599,-2,0,1
75,0.18062448501586914,401,710,16599,-2,0,1
76,0.1830005645751953,389,659,16590,-3,0,1
77,0.18538212776184082,389,659,16590,-3,0,1
78,0.1877584457397461,389,659,16590,-3,0,1
79,0.19013404846191406,392,612,16580,-3,1,0
80,0.19250988960266113,392,612,16580,-3,1,0
81,0.1948864459991455,392,612,16580,-3,1,0
82,0.19726228713989258,401,561,16565,-2,1,1
83,0.19963836669921875,401,561,16565,-2,1,1
84,0.20201373100280762,401,561,16565,-2,1,1
85,0.2043907642364502,406,537,16566,-1,1,1
86,0.20676684379577637,406,537,16566,-1,1,1
87,0.20914363861083984,406,537,16566,0,0,1
88,0.21151971817016602,426,519,16560,0,0,1
89,0.21389508247375488,426,519,16560,0,0,1
90,0.21627116203308105,426,519,16560,1,0,0
91,0.21864652633666992,441,525,16568,1,0,0
92,0.2210233211517334,441,525,16568,1,0,0
93,0.22340154647827148,441,525,16568,3,0,0
94,0.22577619552612305,451,548,16574,3,0,0
95,0.22815179824829102,451,548,16574,3,0,0
96,0.2305281162261963,451,548,16574,4,0,0
97,0.23290491104125977,466,581,16577,4,0,0
98,0.23528146743774414,466,581,16577,4,0,0
99,0.2376573085784912,466,581,16577,5,0,0
100,0.2400345802307129,471,633,16595,5,0,0
101,0.24241042137145996,471,633,16595,5,0,0
102,0.24478673934936523,471,633,16595,6,0,0
103,0.2471637725830078,475,681,16599,6,0,0
104,0.2495403289794922,475,681,16599,6,0,0
105,0.25191617012023926,475,681,16599,5,0,0
106,0.2542915344238281,469,726,16600,5,0,0
107,0.2566673755645752,469,726,16600,5,0,0
108,0.25904369354248047,461,753,16603,4,1,0
109,0.26142168045043945,461,753,16603,4,1,0
110,0.2637972831726074,461,753,16603,4,1,0
111,0.2661740779876709,440,763,16604,2,1,0
112,0.26854991912841797,440,763,16604,2,1,0
113,0.27092504501342773,440,763,16604,2,1,0
114,0.2733020782470703,428,750,16601,0,1,1
115,0.2756781578063965,428,750,16601,0,1,1
116,0.27805376052856445,428,750,16601,0,1,1
117,0.2804298400878906,404,718,16586,-1,1,1
118,0.282806396484375,404,718,16586,-1,1,1
119,0.2851829528808594,404,718,16586,-1,1,1
120,0.28755974769592285,386,666,16582,-3,0,1
121,0.2899348735809326,386,666,16582,-3,0,1
122,0.2923102378845215,386,666,16582,-3,0,1
123,0.29468655586242676,374,621,16582,-2,1,1
124,0.29706335067749023,374,621,16582,-2,1,1
125,0.2994399070739746,374,621,16582,-2,1,1
126,0.3018152713775635,365,572,16586,-2,1,1
127,0.30419135093688965,365,572,16586,-2,1,1
128,0.3065667152404785,365,572,16586,-2,1,1
129,0.3089432716369629,364,536,16576,-1,0,1
130,0.31132030487060547,364,536,16576,-1,0,1
131,0.31369566917419434,364,536,16576,0,0,0
132,0.3160715103149414,382,516,16579,0,0,0
133,0.3184473514556885,382,516,16579,0,0,0
134,0.32082438468933105,382,516,16579,2,0,-1
135,0.32320094108581543,397,518,16579,2,0,-1
136,0.3255770206451416,397,518,16579,2,0,-1
137,0.3279531002044678,397,518,16579,2,0,0
138,0.33032941818237305,412,539,16578,2,0,0
139,0.3327047824859619,412,539,16578,2,0,0
140,0.3350803852081299,412,539,16578,3,0,1
141,0.33745694160461426,436,566,16580,3,0,1
142,0.3398325443267822,436,566,16580,3,0,1
143,0.342207670211792,436,566,16580,5,1,0
144,0.34458398818969727,457,618,16582,5,1,0
145,0.34696006774902344,457,618,16582,5,1,0
146,0.3493361473083496,457,618,16582,5,0,0
147,0.3517117500305176,471,675,16590,5,0,0
148,0.35408806800842285,471,675,16590,5,0,0
149,0.35646700859069824,471,675,16590,4,0,-1
150,0.3588430881500244,491,714,16595,4,0,-1
151,0.3612186908721924,491,714,16595,4,0,-1
152,0.36359548568725586,490,741,16607,2,0,0
153,0.36597204208374023,490,741,16607,2,0,0
154,0.3683481216430664,490,741,16607,2,0,0
155,0.37072324752807617,471,759,16629,1,1,0
156,0.37310051918029785,471,759,16629,1,1,0
157,0.3754770755767822,471,759,16629,1,1,0
158,0.3778519630432129,453,745,16627,-1,1,0
159,0.38022732734680176,453,745,16627,-1,1,0
160,0.38260364532470703,453,745,16627,-1,1,0
161,0.3849794864654541,432,716,16622,-3,1,0
162,0.3873560428619385,432,716,16622,-3,1,0
163,0.38973140716552734,432,716,16622,-3,1,0
164,0.3921074867248535,409,673,16612,-3,1,0
165,0.3944835662841797,409,673,16612,-3,1,0
166,0.39685916900634766,409,673,16612,-3,1,0
167,0.39923644065856934,395,629,16600,-4,1,1
168,0.4016127586364746,395,629,16600,-4,1,1
169,0.4039885997772217,395,629,16600,-4,1,1
170,0.40636396408081055,390,587,16598,-3,1,0
171,0.4087398052215576,390,587,16598,-3,1,0
172,0.4111170768737793,390,587,16598,-3,1,0
173,0.41349339485168457,396,552,16594,-2,1,1
174,0.41586875915527344,396,552,16594,-2,1,1
175,0.4182446002960205,396,552,16594,-2,1,1
176,0.4206206798553467,397,526,16585,-1,0,0
177,0.42299628257751465,397,526,16585,-1,0,0
178,0.4253721237182617,397,526,16585,0,0,0
179,0.427748441696167,401,524,16580,0,0,0
180,0.43012452125549316,401,524,16580,0,0,0
181,0.43250083923339844,401,524,16580,1,0,0
182,0.4348771572113037,422,549,16574,1,0,0
183,0.437253475189209,422,549,16574,1,0,0
184,0.43962931632995605,422,549,16574,3,0,0
185,0.4420044422149658,419,576,16571,3,0,0
186,0.4443802833557129,419,576,16571,3,0,0
187,0.44675612449645996,419,576,16571,3,0,1
188,0.44913315773010254,432,619,16581,3,0,1
189,0.4515092372894287,432,619,16581,3,0,1
190,0.4538848400115967,432,619,16581,4,0,0
191,0.45626115798950195,454,658,16592,4,0,0
